,region_name,tree_type_name,forest_type_name,land_loss,unit_name,uncertainty,creation_date,modified_date,validity_date,source_name,region_id,forest_type_id,tree_type_id,unit_id,source_id
14223,Bourgogne-Franche-Comté Dijon,Deciduous,Closed forest,-3580.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,4,2,1,26,2
14224,Bourgogne-Franche-Comté Dijon,Deciduous,Open and closed forest,-3580.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,4,3,1,26,2
14225,Bourgogne-Franche-Comté Dijon,Mixed,Closed forest,-7370.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,4,2,3,26,2
14226,Bourgogne-Franche-Comté Dijon,Mixed,Open and closed forest,-7370.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,4,3,3,26,2
14227,Bourgogne-Franche-Comté Dijon,Total,Closed forest,-4110.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,4,2,4,26,2
14228,Bourgogne-Franche-Comté Dijon,Total,Open and closed forest,-4040.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,4,3,4,26,2
14229,Normandie,Coniferous,Closed forest,-5350.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,11,2,2,26,2
14230,Normandie,Coniferous,Open and closed forest,-5350.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,11,3,2,26,2
14231,Normandie,Deciduous,Closed forest,-3700.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,11,2,1,26,2
14232,Normandie,Deciduous,Open and closed forest,-3660.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,11,3,1,26,2
14233,Normandie,Mixed,Closed forest,-4970.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,11,2,3,26,2
14234,Normandie,Mixed,Open and closed forest,-4930.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,11,3,3,26,2
14235,Normandie,Total,Closed forest,-3900.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,11,2,4,26,2
14236,Normandie,Total,Open and closed forest,-3850.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,11,3,4,26,2
14237,Île-de-France,Coniferous,Closed forest,-5350.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,8,2,2,26,2
14238,Île-de-France,Coniferous,Open and closed forest,-5350.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,8,3,2,26,2
14239,Île-de-France,Deciduous,Closed forest,-3900.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,8,2,1,26,2
14240,Île-de-France,Deciduous,Open and closed forest,-3890.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,8,3,1,26,2
14241,Île-de-France,Mixed,Closed forest,-4970.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,8,2,3,26,2
14242,Île-de-France,Mixed,Open and closed forest,-4930.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,8,3,3,26,2
14243,Île-de-France,Total,Closed forest,-4050.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,8,2,4,26,2
14244,Île-de-France,Total,Open and closed forest,-4010.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,8,3,4,26,2
14245,Occitanie,Coniferous,Closed forest,-2220.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,9,2,2,26,2
14246,Occitanie,Coniferous,Open and closed forest,-2030.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,9,3,2,26,2
14247,Occitanie,Deciduous,Closed forest,-3600.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,9,2,1,26,2
14248,Occitanie,Deciduous,Open and closed forest,-3320.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,9,3,1,26,2
14249,Occitanie,Mixed,Closed forest,-5200.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,9,2,3,26,2
14250,Occitanie,Mixed,Open and closed forest,-4830.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,9,3,3,26,2
14251,Occitanie,Total,Closed forest,-3430.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,9,2,4,26,2
14252,Occitanie,Total,Open and closed forest,-3030.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,9,3,4,26,2
14253,Aquitaine-Limousin-Poitou-Charentes,Coniferous,Closed forest,10.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,2,2,2,26,2
